"time","chlorophyll","mei","enso_event","sst","direction","speed"
2009-05-16 12:00:00,13.165666,-0.7,"La Nina",NA,283.39185932,5.8472422306
2009-06-16,69.479256,0,"La Nina",NA,266.4635166,4.8049515115
2009-07-16 12:00:00,98.853004,0.6,"El Nino",15.105,301.506448375,5.56424683525
2009-08-16 12:00:00,10.5263,0.6,"El Nino",NA,298.78287816,4.4527446054
2009-09-16,84.1361,0.4,"El Nino",15.1375,300.951851725,4.56232160325
2009-10-16 12:00:00,42.839302,0.6,"El Nino",15.395,301.54384335,5.3996849315
2009-11-16,31.274393,1,"El Nino",13.206251,14.2744986364,4.7398257832
2009-12-16 12:00:00,11.81,1,"El Nino",12.13,84.746941725,4.95619814775
2010-01-16 12:00:00,6.9530005,0.9,"El Nino",13.071667,126.8111459,5.4360881784
2010-02-15,5.7415004,1.3,"El Nino",13.315,290.9623196,4.99107365675
2010-03-16 12:00:00,12.070749,1.3,"El Nino",13.9,241.48591444525,5.62571565275
2010-04-16,35.02843,0.5,"El Nino",12.2,311.42663065,6.4399049925
2010-05-16 12:00:00,19.858665,-0.1,"La Nina",12.4425,311.60752942,6.0970210952
2010-06-16,29.886497,-1.3,"La Nina",12.62,313.291671825,6.44378623975
2010-07-16 12:00:00,69.325165,-2.4,"La Nina",15.84,290.882587425,3.98272681875
2010-08-16 12:00:00,31.627857,-2.4,"La Nina",14.075,312.52373322,4.3134679146
2010-09-16,81.773125,-2.3,"La Nina",NA,316.08539425,4.4172685345
2010-10-16 12:00:00,16.836376,-2.2,"La Nina",14.26,283.84794684,4.0974361076
2010-11-16,59.62265,-2,"La Nina",12.945,243.5762798675,4.935457231
2010-12-16 12:00:00,52.450504,-1.9,"La Nina",11.65,100.4725085675,5.3834643075
2011-01-16 12:00:00,18.248468,-1.8,"La Nina",12.192499,173.108665278,4.8363682292
2011-02-15,59.075306,-1.6,"La Nina",12.745,170.51969712975,5.89157740475
2011-03-16 12:00:00,6.6790004,-1.7,"La Nina",13.0275,266.934080625,6.01331264375
2011-04-16,20.715399,-1.7,"La Nina",13.05,310.25887655,6.40327231775
2011-05-16 12:00:00,19.554571,-1.2,"La Nina",12.7975,284.89986096,6.449597769
2011-06-16,22.8446,-1,"La Nina",NA,300.2463517,5.98912770925
2011-07-16 12:00:00,59.504,-0.7,"La Nina",NA,284.98222574,4.4307958804
2011-08-16 12:00:00,13.051001,-0.8,"La Nina",NA,295.7813321,4.38205810125
2011-09-16,57.28628,-1.1,"La Nina",NA,292.786308,4.22921370825
2011-10-16 12:00:00,37.739906,-1.3,"La Nina",NA,318.86125646,4.2371112962
2011-11-16,42.187,-1.1,"La Nina",12.906667,216.060561865,4.947455705
2011-12-16 12:00:00,5.6716924,-1.2,"La Nina",NA,46.621266435,4.404543979
2012-01-16 12:00:00,3.9929001,-1.1,"La Nina",12.065001,91.7190663704,4.9155654542
2012-02-15 12:00:00,6.528199,-0.7,"La Nina",11.255,261.29754595,5.79150257725
2012-03-16 12:00:00,32.47942,-0.6,"La Nina",11.276666,254.45858225,5.87982081625
2012-04-16,22.325626,-0.4,"La Nina",11.625,279.084295575,6.42423754675
2012-05-16 12:00:00,41.08375,-0.3,"La Nina",NA,303.5020507,6.4498374285
2012-06-16,40.5288,-0.3,"La Nina",11.355,298.407711675,5.6074036575
2012-07-16 12:00:00,11.343,0.3,"El Nino",NA,292.26983784,4.955440891
2012-08-16 12:00:00,93.73328,0,"La Nina",13.238332,NA,NA
2012-09-16,39.317,-0.3,"La Nina",NA,305.447249325,4.66487466125
2012-10-16 12:00:00,14.447667,-0.2,"La Nina",15.445,322.37345375,4.33669602575
2012-11-16,44.97107,0,"La Nina",14.613334,172.35110521,5.204503125
2012-12-16 12:00:00,10.844126,0,"La Nina",13.7175,260.6167876,5.0892885835
2013-01-16 12:00:00,8.301825,-0.1,"La Nina",11.3949995,NA,NA
2013-02-15,21.118473,-0.1,"La Nina",11.745,NA,NA
2013-03-16 12:00:00,46.201584,-0.1,"La Nina",NA,157.5125194695,5.236023085
2013-04-16,16.742083,-0.3,"La Nina",12.63,308.141877775,6.30662959925
2013-05-16 12:00:00,72.78311,-0.7,"La Nina",NA,299.692254075,7.05493522875
2013-06-16,77.8984,-1.1,"La Nina",11.81,285.9401257,5.2001533946
2013-07-16 12:00:00,6.458,-0.8,"La Nina",15.89,277.19472285,3.51042093725
2013-08-16 12:00:00,98.305,-0.4,"La Nina",NA,NA,NA
2013-09-16,39.033558,-0.3,"La Nina",14.31,290.313329133333,5.27512423733333
2013-10-16 12:00:00,23.275454,-0.1,"La Nina",13.963333,299.543275675,4.21034391525
2013-11-16,27.427832,-0.2,"La Nina",NA,167.66153575,4.49940580275
2013-12-16 12:00:00,5.08825,-0.3,"La Nina",NA,217.028604616,4.9304138416
2014-01-16 12:00:00,4.1117334,-0.5,"La Nina",NA,167.96105196,4.4254711395
2014-02-15,10.884222,-0.4,"La Nina",NA,191.792309671,5.37015610275
2014-03-16 12:00:00,33.998413,0,"La Nina",14.24,261.9970981,4.3841566966
2014-04-16,52.795612,-0.2,"La Nina",14.96,290.603734975,4.898008565
2014-05-16 12:00:00,26.56733,-0.2,"La Nina",NA,286.378631875,6.04584526475
2014-06-16,56.275665,0,"La Nina",NA,264.61397602,4.7584318306
2014-07-16,23.455166,0.4,"El Nino",15.05,284.347289325,3.771441585
2014-08-16,56.86634,0.2,"El Nino",18.4,286.55427402,3.7330604002
2014-09-16,71.007065,-0.1,"La Nina",16.6,331.234123525,4.10406197475
2014-10-16,51.56944,0.1,"El Nino",17.0225,306.574943825,4.5803734225
2014-11-16,29.093037,0.4,"El Nino",15.558333,121.85026057,4.3132385844
